T,Alt,,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,AUX
6.3,1235,,79.94,0,0,0,0,0,0,0
6.35,1264,,179.95,0,0,0,0,0,0,0
6.4,1260,,127.96,0,0,0,0,0,0,0
6.45,1251,,66.37,0,0,0,0,0,0,0
6.5,1256,,69.1,0,0,0,0,0,0,0
6.55,1264,,83.28,0,0,0,0,0,0,0
6.6,1275,,106.62,0,0,0,0,0,0,0
6.65,1256,,5.3,0,0,0,0,0,0,0
6.7,1278,,108.24,0,0,0,0,0,0,0
6.75,1290,,114.59,0,0,0,0,0,0,0
6.8,1290,,87.67,0,0,0,0,0,0,0
6.85,1288,,58.14,0,0,0,0,0,0,0
6.9,1289,,46.51,0,0,0,0,0,0,0
6.95,1297,,65.21,0,0,0,0,0,0,0
7,1290,,20.17,0,0,0,0,0,0,0
7.05,1322,,140.13,0,0,0,0,0,0,0
7.1,1348,,212.11,0,0,0,0,0,0,0
7.15,1318,,45.69,0,0,0,0,0,0,0
7.2,1320,,40.55,0,0,0,0,0,0,0
7.25,1351,,152.44,0,0,0,0,0,0,0
7.3,1336,,57.95,0,0,0,0,0,0,0
7.35,1347,,86.36,0,0,0,0,0,0,0
7.4,1331,,1.09,0,0,0,0,0,0,0
7.45,1354,,88.87,0,0,0,0,0,0,0
7.5,1349,,47.1,0,0,0,0,0,0,0
7.55,1360,,77.68,0,0,0,0,0,0,0
7.6,1344,,-5.86,0,0,0,0,0,0,0
7.65,1353,,27.31,0,0,0,0,0,0,0
7.7,1372,,97.85,0,0,0,0,0,0,0
7.75,1376,,74.28,0,0,0,0,0,0,0
7.8,1377,,71.42,0,0,0,0,0,0,0
7.85,1382,,-2.86,0,0,0,0,0,0,0
7.9,1389,,69.71,0,0,0,0,0,0,0
7.95,1391,,-40.23,0,0,0,0,0,0,0
8,1395,,171.82,0,0,0,0,0,0,0
8.05,1392,,149.45,0,0,0,0,0,0,0
8.1,1398,,27.56,0,0,0,0,0,0,0
8.15,1405,,54.05,0,0,0,0,0,0,0
8.2,1405,,163.24,0,0,0,0,0,0,0
8.25,1405,,138.59,0,0,0,0,0,0,0
8.3,1405,,102.87,0,0,0,0,0,0,0
8.35,1405,,60,0,0,0,0,0,0,0
8.4,1405,,47.44,0,0,0,0,0,0,0
8.45,1405,,29.95,0,0,0,0,0,0,0
8.5,1405,,30,0,0,0,0,0,0,0
8.55,1405,,-10,0,0,0,0,0,0,0
8.6,1410,,-26.75,0,0,0,0,0,0,0
8.65,1410,,-20,0,0,0,0,0,0,0
8.7,1415,,20,0,0,0,0,0,0,0
8.75,1415,,-21.69,0,0,0,0,0,0,0
8.8,1415,,20,0,0,0,0,0,0,0
8.85,1420,,-13.88,0,0,0,0,0,0,0
8.9,1420,,-29,0,0,0,0,0,0,0
8.95,1420,,30,0,0,0,0,0,0,0
9,1420,,20,0,0,0,0,0,0,0
9.05,1425,,-30,0,0,0,0,0,0,0
9.1,1425,,16,0,0,0,0,0,0,0
9.15,1425,,-50,0,0,0,0,0,0,0
9.2,1430,,18.55,0,0,0,0,0,0,0
9.25,1430,,26.84,0,0,0,0,0,0,0
9.3,1430,,61.47,0,0,0,0,0,0,0
9.35,1430,,30,0,0,0,0,0,0,0
9.4,1433,,10,0,0,0,0,0,0,0
9.45,1433,,-50,0,0,0,0,0,0,0
9.5,1433,,50,0,0,0,0,0,0,0
9.55,1434,,55.37,0,0,0,0,0,0,0
9.6,1437,,96.3,0,0,0,0,0,0,0
9.65,1439,,-26.96,0,0,0,0,0,0,0
9.7,1439,,38.43,0,0,0,0,0,0,0
9.75,1438,,34.75,0,0,0,0,0,0,0
9.8,1437,,15.8,0,0,0,0,0,0,0
9.85,1435,,104.64,0,0,0,0,0,0,0
9.9,1435,,39.71,0,0,0,0,0,0,0
9.95,1430,,107.77,0,0,0,0,0,0,0
10,1430,,-29.79,0,0,0,0,0,0,0
10.05,1430,,188.17,0,0,1439,0,0,0,0
10.1,1430,,66.54,0,0,0,0,0,0,0
10.15,1425,,57.23,0,0,0,0,0,0,0
10.2,1425,,-102.22,0,0,0,0,0,0,0
10.25,1425,,-61.77,0,0,0,0,0,0,0
10.3,1425,,-153.42,0,0,0,0,0,0,0
10.35,1425,,-10.73,0,0,0,0,0,0,0
10.4,1420,,-140.59,0,0,0,0,0,0,0
10.45,1420,,-44.47,0,0,0,0,0,0,0
10.5,1420,,32.42,0,0,0,0,0,0,0
10.55,1420,,-82.06,0,0,0,0,0,0,0
10.6,1420,,-13.65,0,0,0,0,0,0,0
10.65,1415,,57.08,0,0,0,0,0,0,0
10.7,1415,,-30.33,0,0,0,0,0,0,0
10.75,1415,,-36.27,0,0,0,0,0,0,0
10.8,1415,,2.99,0,0,0,0,0,0,0
10.85,1415,,-21.61,0,0,0,0,0,0,0
10.9,1415,,-77.29,0,0,0,0,0,0,0
10.95,1400,,-33.83,0,0,0,0,0,0,0
11,1400,,-115.07,0,0,0,0,0,0,0
11.05,1400,,3.95,0,0,0,1367,0,0,0
11.55,1408,,-12.48,0,0,0,0,0,0,0
12.05,1350,,-15.59,0,0,0,0,1321,0,0
12.55,1320,,-23.27,0,0,0,0,0,0,0
13.05,1300,,-19.82,0,0,0,0,0,0,0
13.55,1300,,-34.25,0,0,0,0,0,0,0
14.05,1300,,-29,0,0,0,0,0,0,0
14.55,1220,,-46,0,0,0,0,0,0,0
15.05,1180,,-68.8,0,0,0,0,0,0,0
15.55,1137,,-41.84,0,0,0,0,0,0,0
16.05,1105,,-46.27,0,0,0,0,0,0,0
16.55,1065,,-53.02,0,0,0,0,0,0,0
17.05,1012,,-63.61,0,0,0,0,0,0,0
17.55,1020,,-47.69,0,0,0,0,0,0,0
18.05,961,,-61.75,0,0,0,0,0,0,0
18.55,925,,-63.8,0,0,0,0,0,0,0
19.05,863,,-75.84,0,0,0,0,0,0,0
19.55,854,,-64.27,0,0,0,0,0,0,0
20.05,873,,-43.82,0,0,0,0,0,0,0
20.55,802,,-63.46,0,0,0,0,0,0,0
21.05,826,,-41.16,0,0,0,0,0,0,0
21.55,724,,-73.73,0,0,0,0,0,0,0
22.05,693,,-71.39,0,0,0,0,0,693,0
22.55,686,,-59.91,0,0,0,0,0,0,0
23.05,627,,-71.53,0,0,0,0,0,0,0
23.55,597,,-69.22,0,0,0,0,0,0,0
24.05,602,,-53.38,0,0,0,0,0,0,0
24.55,563,,-58.3,0,0,0,0,0,0,0
25.05,525,,-61.84,0,0,0,0,0,0,0
25.55,494,,-61.87,0,0,0,0,0,0,0
26.05,492,,-50.3,0,0,0,0,0,0,0
26.55,484,,-43.44,0,0,0,0,0,0,0
27.05,533,,-15.15,0,0,0,0,0,0,0
27.55,470,,-37.32,0,0,0,0,0,0,0
28.05,442,,-41.06,0,0,0,0,0,0,0
28.55,478,,-18.45,0,0,0,0,0,0,0
29.05,458,,-22.76,0,0,0,0,0,0,0
29.55,444,,-23.8,0,0,0,0,0,0,0
30.05,434,,-23.04,0,0,0,0,0,0,0
30.55,437,,-17.24,0,0,0,0,0,0,0
31.05,423,,-19.39,0,0,0,0,0,0,0
31.55,370,,-36.71,0,0,0,0,0,0,0
32.05,389,,-21.77,0,0,0,0,0,0,0
32.55,370,,-25.01,0,0,0,0,0,0,0
33.05,372,,-19.21,0,0,0,0,0,0,0
33.55,357,,-21.37,0,0,0,0,0,0,0
34.05,355,,-17.9,0,0,0,0,0,0,0
34.55,365,,-10.32,0,0,0,0,0,0,0
35.05,334,,-20.65,0,0,0,0,0,0,0
35.55,357,,-7.32,0,0,0,0,0,0,0
36.05,332,,-15.86,0,0,0,0,0,0,0
36.55,310,,-21.49,0,0,0,0,0,0,0
37.05,344,,-3.59,0,0,0,0,0,0,0
37.55,325,,-10.47,0,0,0,0,0,0,0
38.05,304,,-16.78,0,0,0,0,0,0,0
38.55,309,,-11.42,0,0,0,0,0,0,0
39.05,298,,-13.54,0,0,0,0,0,0,0
39.55,270,,-22.03,0,0,0,0,0,0,0
40.05,291,,-9.22,0,0,0,0,0,0,0
40.55,272,,-14.98,0,0,0,0,0,0,0
41.05,237,,-25.98,0,0,0,0,0,0,0
41.55,270,,-7.59,0,0,0,0,0,0,0
42.05,255,,-12.07,0,0,0,0,0,0,0
42.55,243,,-14.46,0,0,0,0,0,0,0
43.05,227,,-17.96,0,0,0,0,0,0,0
43.55,234,,-11.57,0,0,0,0,0,0,0
44.05,222,,-14.06,0,0,0,0,0,0,0
44.55,223,,-10.85,0,0,0,0,0,0,0
45.05,206,,-15.48,0,0,0,0,0,0,0
45.55,193,,-17.58,0,0,0,0,0,0,0
46.05,188,,-16.07,0,0,0,0,0,0,0
46.55,161,,-23.65,0,0,0,0,0,0,0
47.05,189,,-7.72,0,0,0,0,0,0,0
47.55,171,,-13.38,0,0,0,0,0,0,0
48.05,117,,-32.3,0,0,0,0,0,0,0
48.55,146,,-14.24,0,0,0,0,0,0,0
49.05,136,,-15.39,0,0,0,0,0,0,0
49.55,129,,-15.11,0,0,0,0,0,0,0
50.05,114,,-18.09,0,0,0,0,0,0,0
50.55,110,,-16.07,0,0,0,0,0,0,0
51.05,84,,-23.26,0,0,0,0,0,0,0
51.55,70,,-24.21,0,0,0,0,0,0,0
52.05,71,,-18.97,0,0,0,0,0,0,0
52.55,68,,-16.37,0,0,0,0,0,0,0
53.05,57,,-17.5,0,0,0,0,0,0,0
53.55,49,,-17.2,0,0,0,0,0,0,0
54.05,45,,-15.36,0,0,0,0,0,0,0
54.55,33,,-17.09,0,0,0,0,0,0,0
55.05,23,,-17.67,0,0,0,0,0,0,0
55.55,4,,-21.74,0,0,0,0,0,0,0
