5.897,722.996,77.034,61.053,2.59,2.99
5.947,728.797,77.096,61.053,2.6,3
5.997,734.566,77.087,61.053,2.599,2.999
6.047,740.303,77.117,61.053,2.603,3.003
6.097,746.008,77.072,61.053,2.596,2.996
6.147,751.681,77.076,61.053,2.597,2.997
6.197,757.322,77.096,61.053,2.6,3
6.247,762.931,77.097,61.053,2.6,3
6.297,768.509,77.031,61.053,2.59,2.99
6.347,774.055,76.985,61.053,2.582,2.982
6.397,779.57,76.921,61.053,2.572,2.972
6.447,785.053,76.963,61.053,2.579,2.979
6.497,790.505,77.024,61.053,2.588,2.988
6.547,795.926,77.054,61.053,2.593,2.993
6.597,801.315,77.048,61.053,2.592,2.992
6.647,806.674,76.957,61.053,2.577,2.977
6.697,812.002,76.888,61.053,2.566,2.966
6.747,817.298,76.957,61.053,2.578,2.978
6.797,822.564,76.942,61.053,2.575,2.975
6.847,827.799,76.906,61.053,2.569,2.969
6.897,833.004,76.95,61.053,2.576,2.976
6.947,838.177,77.015,61.053,2.587,2.987
6.997,843.321,76.993,61.053,2.583,2.983
7.047,848.434,76.996,61.053,2.584,2.984
7.097,853.516,77.007,61.053,2.586,2.986
7.147,858.568,76.894,61.053,2.567,2.967
7.197,863.59,76.899,61.053,2.568,2.968
7.247,868.582,76.85,61.053,2.56,2.96
7.297,873.544,76.859,61.053,2.562,2.962
7.347,878.476,76.913,61.053,2.57,2.97
7.397,883.378,76.923,61.053,2.572,2.972
7.447,888.25,76.946,61.053,2.576,2.976
7.497,893.093,76.931,61.053,2.573,2.973
7.547,897.905,76.965,61.053,2.579,2.979
7.597,902.688,76.893,61.053,2.567,2.967
7.647,907.442,76.821,61.053,2.556,2.956
7.697,912.166,76.789,61.053,2.55,2.95
7.747,916.86,76.716,61.053,2.538,2.938
7.797,921.525,76.691,61.053,2.535,2.935
7.847,926.161,76.778,61.053,2.549,2.949
7.897,930.767,76.841,61.053,2.559,2.959
7.947,935.344,76.914,61.053,2.571,2.971
